filename,label
test1/阳谷县司法所组织信息_.xls,政法监察
test1/济宁市辽宁省朝阳市龙城区县残疾人联合会_残疾人证办理_.csv,医疗卫生
test1/企业变更信息_.xls,工业
test1/设立经营性互联网文化单位审批_万州区.csv,文化休闲
test1/事业企业“双随机一公开”监察检查记录_.xls,劳动人事
test1/昭阳区市广东省名牌产品工业类称号信息_.xls,工业
test1/市级民办职业培训学校设立审批_.xls,文秘行政
test1/分县市、区建筑业生产状况_.xls,城乡建设
test1/辽宁省阜新市彰武县市国控污染物自动监控信息_.xls,生态环境
test1/水环境重点排污公司名单目录信息_.xls,生态环境
test1/吉林市区法人行政处罚数据.csv,文秘行政
test1/成县区法人行政处罚数据.csv,文秘行政
test1/吉林省吉林市龙潭区区法人行政处罚数据.csv,文秘行政
test1/设立经营性互联网文化单位审批_临汾市古县.csv,文化休闲
test1/尖草坪区民声阅办记录信息_.csv,文化休闲
test1/山西省运城市万荣县省人防资质监理企业名录.csv,工业
test1/校车使用审查_.xls,交通运输
test1/四平市铁东区省执法证件信息_.csv,政法监察
test1/新疆维吾尔自治区阿克苏地区拜城县居民消费价格指数CPI.csv,经济管理
test1/大同市城区区职业学校一览表 .csv,教育科技
test1/全省公共图书馆文化馆评估定级信息_昆明市市辖区.csv,文化休闲
test1/深圳市自然灾害室内应急避难场所_.xls,气象水文测绘地震地理
test1/济宁市甘肃省武威市古浪县县残疾人联合会_残疾人证办理_.csv,医疗卫生
test1/县级公共图书馆文化馆总分馆制信息_吉林省长春市.csv,文化休闲
test1/张掖市临泽县市广东省名牌产品工业类称号信息_.xls,工业
test1/临沂市罗庄区简易注销信息_.xls,工业
test1/住房保障信息_.xls,城乡建设
test1/经评审取得中级专业技术资格名单_.xls,财税金融
test1/殡仪服务机构.csv,文化休闲
test1/山西省晋城市城区市全国工业产品生产许可证获证企业非食品类信息_.xls,工业
test1/吉林省四平市市辖区市全国工业产品生产许可证获证企业非食品类信息_.xls,工业
test1/云南省普洱市市全国工业产品生产许可证获证企业非食品类信息_.xls,工业
test1/莱西市人民调解委员会信息_.xls,经济管理
test1/省级重点研发策划立项清单信息.csv,教育科技
test1/新泰市项目计划统计表_.xls,财税金融
test1/济宁市维西傈僳族自治县县残疾人联合会_残疾人证办理_.csv,医疗卫生
test1/旅行社服务网点备案登记证明_.xls,旅游服务
test1/济南市长清区政府购买服务资金到位策划表_.xls,财税金融
test1/批发市场 .csv,农业畜牧业
test1/县级公共图书馆文化馆总分馆制信息_城关区.csv,文化休闲
test1/武城县地下水深井信息_.xls,资源能源
test1/宁阳县车辆保险日期汇总表_.xls,交通运输
test1/岚县市医疗器械三类生产经营许可备案.csv,医疗卫生
test1/云南省昆明市西山区区法人行政许可数据.csv,文秘行政
test1/菏泽市给予撤销注册惩办的民办非公司公司名单信息_.xls,工业
test1/资兴市年预算草案 .xls,财税金融
test1/临沂市公证员信息_.xls,政法监察
test1/济宁市昭通市大关县县残疾人联合会_残疾人证办理_.csv,医疗卫生
test1/人防资质监理企业.csv,工业
test1/山西省临汾市市辖区市道路运输车辆综合性能检测机构名单_.xls,交通运输
test1/全省公共图书馆文化馆评估定级信息_辽宁省盘锦市兴隆台区.csv,文化休闲
test1/市南区文物保护公司清单_.xls,文化休闲
test1/辽宁省铁岭市市辖区市国控污染物自动监控信息_.xls,生态环境
test1/全市高中中学名单_.xls,教育科技
test1/生产经营单位安全事故应急预案备案安监局_.xls,农业畜牧业
test1/岫岩满族自治县省城市空气质量发布数据_上饶市.csv,生态环境
test1/巫溪县市汶上县残疾人联合会_残疾人证办理_.csv,医疗卫生
test1/济南市区县外侨办基本信息_.xls,外交外事
test1/交通运输行政处置信息_.xls,文秘行政
test1/全省公共图书馆文化馆评估定级信息_运城市永济市.csv,文化休闲
test1/玉溪市新平彝族傣族自治县省人防资质监理企业名录.csv,工业
test1/云南省昆明市禄劝彝族苗族自治县市国控污染物自动监控信息_.xls,生态环境
test1/白城市大安市县法人行政处罚数据.csv,文秘行政
